uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AM,SRAG,HOSPITAL,"< 9",M,8
AP,OUTRAS,DOMICILIO,"< 9",F,2
AP,OUTRAS,HOSPITAL,"< 9",F,31
AP,OUTRAS,HOSPITAL,"< 9",M,27
AP,OUTRAS,OUTRO,"< 9",F,4
AP,OUTRAS,OUTRO,"< 9",M,4
AP,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AP,COVID,HOSPITAL,"< 9",M,1
AP,INDETERMINADA,HOSPITAL,"< 9",M,1
AP,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
AP,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,5
AP,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
AP,PNEUMONIA,HOSPITAL,"< 9",F,4
AP,PNEUMONIA,HOSPITAL,"< 9",M,7
AP,PNEUMONIA,OUTRO,"< 9",M,1
AP,SEPTICEMIA,HOSPITAL,"< 9",F,17
AP,SEPTICEMIA,HOSPITAL,"< 9",M,18
AP,SEPTICEMIA,OUTRO,"< 9",M,1
AP,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AP,SRAG,HOSPITAL,"< 9",F,1
BA,OUTRAS,DOMICILIO,"< 9",F,40
BA,OUTRAS,DOMICILIO,"< 9",M,60
BA,OUTRAS,HOSPITAL,"< 9",F,539
BA,OUTRAS,HOSPITAL,"< 9",I,28
BA,OUTRAS,HOSPITAL,"< 9",M,642
BA,OUTRAS,IGNORADO,"< 9",I,1
BA,OUTRAS,IGNORADO,"< 9",M,4
BA,OUTRAS,OUTRO,"< 9",F,4
BA,OUTRAS,OUTRO,"< 9",M,6
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,21
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,34
BA,OUTRAS,VIA_PUBLICA,"< 9",F,7
BA,OUTRAS,VIA_PUBLICA,"< 9",M,5
BA,COVID,DOMICILIO,"< 9",M,1
BA,COVID,HOSPITAL,"< 9",F,15
BA,COVID,HOSPITAL,"< 9",I,1
BA,COVID,HOSPITAL,"< 9",M,21
BA,COVID,OUTRO,"< 9",F,1
BA,INDETERMINADA,DOMICILIO,"< 9",M,1
BA,INDETERMINADA,HOSPITAL,"< 9",F,3
BA,INDETERMINADA,HOSPITAL,"< 9",M,2
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,5
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,177
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,4
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,225
BA,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,2
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,9
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,5
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,3
BA,PNEUMONIA,DOMICILIO,"< 9",F,3
BA,PNEUMONIA,HOSPITAL,"< 9",F,47
BA,PNEUMONIA,HOSPITAL,"< 9",M,46
BA,PNEUMONIA,IGNORADO,"< 9",F,1
BA,PNEUMONIA,OUTRO,"< 9",F,1
BA,PNEUMONIA,VIA_PUBLICA,"< 9",F,1
BA,SEPTICEMIA,HOSPITAL,"< 9",F,211
BA,SEPTICEMIA,HOSPITAL,"< 9",I,2
BA,SEPTICEMIA,HOSPITAL,"< 9",M,273
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,7
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
BA,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
BA,SRAG,HOSPITAL,"< 9",F,12
BA,SRAG,HOSPITAL,"< 9",M,12
CE,OUTRAS,AMBULANCIA,"< 9",F,2
CE,OUTRAS,DOMICILIO,"< 9",F,19
CE,OUTRAS,DOMICILIO,"< 9",M,27
CE,OUTRAS,HOSPITAL,"< 9",F,484
CE,OUTRAS,HOSPITAL,"< 9",I,16
CE,OUTRAS,HOSPITAL,"< 9",M,536
CE,OUTRAS,IGNORADO,"< 9",F,26
CE,OUTRAS,IGNORADO,"< 9",M,28
CE,OUTRAS,OUTRO,"< 9",F,12
CE,OUTRAS,OUTRO,"< 9",M,10
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,12
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,15
CE,OUTRAS,VIA_PUBLICA,"< 9",F,4
CE,OUTRAS,VIA_PUBLICA,"< 9",I,1
CE,OUTRAS,VIA_PUBLICA,"< 9",M,4
CE,COVID,HOSPITAL,"< 9",F,22
CE,COVID,HOSPITAL,"< 9",M,17
CE,COVID,IGNORADO,"< 9",F,1
CE,COVID,IGNORADO,"< 9",M,3
CE,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
CE,INDETERMINADA,DOMICILIO,"< 9",F,1
CE,INDETERMINADA,DOMICILIO,"< 9",M,1
CE,INDETERMINADA,HOSPITAL,"< 9",F,3
CE,INDETERMINADA,HOSPITAL,"< 9",M,5
CE,INDETERMINADA,OUTRO,"< 9",M,1
CE,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,4
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,34
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,2
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,48
CE,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,4
CE,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,7
CE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
CE,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
CE,PNEUMONIA,DOMICILIO,"< 9",M,1
CE,PNEUMONIA,HOSPITAL,"< 9",F,39
CE,PNEUMONIA,HOSPITAL,"< 9",M,42
CE,PNEUMONIA,IGNORADO,"< 9",F,3
CE,PNEUMONIA,IGNORADO,"< 9",M,5
CE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
CE,SEPTICEMIA,AMBULANCIA,"< 9",M,1
CE,SEPTICEMIA,DOMICILIO,"< 9",M,1
CE,SEPTICEMIA,HOSPITAL,"< 9",F,95
CE,SEPTICEMIA,HOSPITAL,"< 9",M,145
CE,SEPTICEMIA,IGNORADO,"< 9",F,7
CE,SEPTICEMIA,IGNORADO,"< 9",M,13
CE,SEPTICEMIA,OUTRO,"< 9",M,1
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,5
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,7
CE,SRAG,HOSPITAL,"< 9",F,9
CE,SRAG,HOSPITAL,"< 9",M,5
DF,OUTRAS,DOMICILIO,"< 9",F,6
DF,OUTRAS,DOMICILIO,"< 9",M,2
DF,OUTRAS,HOSPITAL,"< 9",F,129
DF,OUTRAS,HOSPITAL,"< 9",I,4
DF,OUTRAS,HOSPITAL,"< 9",M,163
DF,OUTRAS,IGNORADO,"< 9",F,15
DF,OUTRAS,IGNORADO,"< 9",M,13
DF,OUTRAS,OUTRO,"< 9",M,1
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,7
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,5
DF,OUTRAS,VIA_PUBLICA,"< 9",F,2
DF,COVID,HOSPITAL,"< 9",F,4
DF,COVID,HOSPITAL,"< 9",M,2
DF,INDETERMINADA,HOSPITAL,"< 9",F,8
DF,INDETERMINADA,HOSPITAL,"< 9",M,1
DF,INDETERMINADA,IGNORADO,"< 9",M,2
DF,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,33
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,37
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
DF,PNEUMONIA,HOSPITAL,"< 9",F,12
DF,PNEUMONIA,HOSPITAL,"< 9",M,16
DF,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
DF,SEPTICEMIA,DOMICILIO,"< 9",M,1
DF,SEPTICEMIA,HOSPITAL,"< 9",F,73
DF,SEPTICEMIA,HOSPITAL,"< 9",M,70
DF,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
DF,SRAG,HOSPITAL,"< 9",F,7
DF,SRAG,HOSPITAL,"< 9",M,4
ES,OUTRAS,DOMICILIO,"< 9",F,10
ES,OUTRAS,DOMICILIO,"< 9",M,18
ES,OUTRAS,HOSPITAL,"< 9",F,129
ES,OUTRAS,HOSPITAL,"< 9",I,1
ES,OUTRAS,HOSPITAL,"< 9",M,150
ES,OUTRAS,OUTRO,"< 9",F,3
ES,OUTRAS,OUTRO,"< 9",M,2
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,6
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
ES,OUTRAS,VIA_PUBLICA,"< 9",F,1
ES,OUTRAS,VIA_PUBLICA,"< 9",M,4
ES,COVID,HOSPITAL,"< 9",F,8
ES,COVID,HOSPITAL,"< 9",M,7
ES,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,10
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,12
ES,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
ES,PNEUMONIA,DOMICILIO,"< 9",F,1
ES,PNEUMONIA,DOMICILIO,"< 9",M,1
ES,PNEUMONIA,HOSPITAL,"< 9",F,19
ES,PNEUMONIA,HOSPITAL,"< 9",M,27
ES,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
ES,SEPTICEMIA,DOMICILIO,"< 9",F,1
ES,SEPTICEMIA,HOSPITAL,"< 9",F,73
ES,SEPTICEMIA,HOSPITAL,"< 9",M,81
ES,SRAG,HOSPITAL,"< 9",F,1
ES,SRAG,HOSPITAL,"< 9",M,1
GO,OUTRAS,DOMICILIO,"< 9",F,18
GO,OUTRAS,DOMICILIO,"< 9",M,15
GO,OUTRAS,HOSPITAL,"< 9",F,144
GO,OUTRAS,HOSPITAL,"< 9",I,1
GO,OUTRAS,HOSPITAL,"< 9",M,185
GO,OUTRAS,IGNORADO,"< 9",F,1
GO,OUTRAS,IGNORADO,"< 9",M,2
GO,OUTRAS,OUTRO,"< 9",F,7
GO,OUTRAS,OUTRO,"< 9",M,9
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,13
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,18
GO,OUTRAS,VIA_PUBLICA,"< 9",F,3
GO,OUTRAS,VIA_PUBLICA,"< 9",M,4
GO,COVID,HOSPITAL,"< 9",F,4
GO,COVID,HOSPITAL,"< 9",M,5
GO,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,INDETERMINADA,DOMICILIO,"< 9",M,1
GO,INDETERMINADA,HOSPITAL,"< 9",F,2
GO,INDETERMINADA,IGNORADO,"< 9",M,1
GO,INDETERMINADA,OUTRO,"< 9",M,1
GO,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,49
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,46
GO,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,6
GO,PNEUMONIA,DOMICILIO,"< 9",M,1
GO,PNEUMONIA,HOSPITAL,"< 9",F,31
GO,PNEUMONIA,HOSPITAL,"< 9",M,29
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,SEPTICEMIA,HOSPITAL,"< 9",F,107
GO,SEPTICEMIA,HOSPITAL,"< 9",I,1
GO,SEPTICEMIA,HOSPITAL,"< 9",M,109
GO,SEPTICEMIA,IGNORADO,"< 9",F,2
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,7
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,7
GO,SRAG,HOSPITAL,"< 9",F,3
GO,SRAG,HOSPITAL,"< 9",M,2
MA,OUTRAS,DOMICILIO,"< 9",F,26
MA,OUTRAS,DOMICILIO,"< 9",I,2
MA,OUTRAS,DOMICILIO,"< 9",M,29
MA,OUTRAS,HOSPITAL,"< 9",F,221
MA,OUTRAS,HOSPITAL,"< 9",I,5
MA,OUTRAS,HOSPITAL,"< 9",M,270
MA,OUTRAS,IGNORADO,"< 9",F,3
MA,OUTRAS,IGNORADO,"< 9",M,2
MA,OUTRAS,OUTRO,"< 9",F,3
MA,OUTRAS,OUTRO,"< 9",M,12
MA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,5
MA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,4
MA,OUTRAS,VIA_PUBLICA,"< 9",F,5
MA,OUTRAS,VIA_PUBLICA,"< 9",M,1
MA,COVID,HOSPITAL,"< 9",F,8
MA,COVID,HOSPITAL,"< 9",M,2
MA,COVID,OUTRO,"< 9",M,1
MA,INDETERMINADA,DOMICILIO,"< 9",M,2
MA,INDETERMINADA,HOSPITAL,"< 9",F,3
MA,INDETERMINADA,HOSPITAL,"< 9",M,2
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,28
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,33
MA,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,1
MA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MA,PNEUMONIA,DOMICILIO,"< 9",M,4
MA,PNEUMONIA,HOSPITAL,"< 9",F,27
MA,PNEUMONIA,HOSPITAL,"< 9",M,32
MA,PNEUMONIA,IGNORADO,"< 9",M,1
MA,PNEUMONIA,OUTRO,"< 9",F,1
MA,PNEUMONIA,VIA_PUBLICA,"< 9",F,1
MA,PNEUMONIA,VIA_PUBLICA,"< 9",M,1
MA,SEPTICEMIA,DOMICILIO,"< 9",M,1
MA,SEPTICEMIA,HOSPITAL,"< 9",F,55
MA,SEPTICEMIA,HOSPITAL,"< 9",M,74
MA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MA,SEPTICEMIA,VIA_PUBLICA,"< 9",M,1
MA,SRAG,HOSPITAL,"< 9",F,4
MA,SRAG,HOSPITAL,"< 9",M,4
MG,OUTRAS,DOMICILIO,"< 9",F,42
MG,OUTRAS,DOMICILIO,"< 9",M,56
MG,OUTRAS,HOSPITAL,"< 9",F,727
MG,OUTRAS,HOSPITAL,"< 9",I,14
MG,OUTRAS,HOSPITAL,"< 9",M,865
MG,OUTRAS,IGNORADO,"< 9",F,19
MG,OUTRAS,IGNORADO,"< 9",I,1
MG,OUTRAS,IGNORADO,"< 9",M,16
MG,OUTRAS,OUTRO,"< 9",F,2
MG,OUTRAS,OUTRO,"< 9",M,12
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,12
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,20
MG,OUTRAS,VIA_PUBLICA,"< 9",F,7
MG,OUTRAS,VIA_PUBLICA,"< 9",M,8
MG,COVID,HOSPITAL,"< 9",F,10
MG,COVID,HOSPITAL,"< 9",M,13
MG,COVID,IGNORADO,"< 9",F,1
MG,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,INDETERMINADA,DOMICILIO,"< 9",M,2
MG,INDETERMINADA,HOSPITAL,"< 9",F,8
MG,INDETERMINADA,HOSPITAL,"< 9",I,1
MG,INDETERMINADA,HOSPITAL,"< 9",M,14
MG,INDETERMINADA,OUTRO,"< 9",M,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,3
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,121
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,4
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,168
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,1
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,3
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
MG,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,2
MG,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,2
MG,PNEUMONIA,DOMICILIO,"< 9",M,1
MG,PNEUMONIA,HOSPITAL,"< 9",F,32
MG,PNEUMONIA,HOSPITAL,"< 9",M,57
MG,PNEUMONIA,IGNORADO,"< 9",M,1
MG,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,SEPTICEMIA,DOMICILIO,"< 9",M,1
MG,SEPTICEMIA,HOSPITAL,"< 9",F,319
MG,SEPTICEMIA,HOSPITAL,"< 9",M,360
MG,SEPTICEMIA,IGNORADO,"< 9",F,5
MG,SEPTICEMIA,IGNORADO,"< 9",M,4
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
MG,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
MG,SRAG,HOSPITAL,"< 9",F,10
MG,SRAG,HOSPITAL,"< 9",M,10
MG,SRAG,IGNORADO,"< 9",M,1
MS,OUTRAS,DOMICILIO,"< 9",F,17
MS,OUTRAS,DOMICILIO,"< 9",M,16
MS,OUTRAS,HOSPITAL,"< 9",F,212
MS,OUTRAS,HOSPITAL,"< 9",M,266
MS,OUTRAS,OUTRO,"< 9",M,6
MS,OUTRAS,VIA_PUBLICA,"< 9",F,5
MS,OUTRAS,VIA_PUBLICA,"< 9",M,7
MS,COVID,HOSPITAL,"< 9",F,2
MS,COVID,HOSPITAL,"< 9",M,4
MS,INDETERMINADA,DOMICILIO,"< 9",M,1
MS,INDETERMINADA,HOSPITAL,"< 9",F,1
MS,INDETERMINADA,POSTO_SAUDE,"< 9",F,1
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,7
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,28
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,37
MS,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
MS,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
MS,PNEUMONIA,DOMICILIO,"< 9",F,1
MS,PNEUMONIA,DOMICILIO,"< 9",M,1
MS,PNEUMONIA,HOSPITAL,"< 9",F,24
MS,PNEUMONIA,HOSPITAL,"< 9",M,30
MS,PNEUMONIA,VIA_PUBLICA,"< 9",M,2
MS,SEPTICEMIA,DOMICILIO,"< 9",M,1
MS,SEPTICEMIA,HOSPITAL,"< 9",F,50
MS,SEPTICEMIA,HOSPITAL,"< 9",M,69
MS,SRAG,HOSPITAL,"< 9",M,2
MT,OUTRAS,DOMICILIO,"< 9",F,3
